SeID,Relationship,RoID
989,Part_of,8850
990,Part_of,8844
991,Part_of,8844
992,Part_of,8844
993,Part_of,8844
994,Part_of,8844
995,Part_of,8844
996,Part_of,8844
997,Part_of,18277
998,Part_of,8850
999,Part_of,8850
1000,Part_of,8850
1001,Part_of,38344
1002,Part_of,12048
1003,Part_of,38344
1004,Part_of,38344
1005,Part_of,38344
1006,Part_of,38344
1007,Part_of,38345
1008,Part_of,18513
1009,Part_of,18514
1010,Part_of,18514
1011,Part_of,18513
1012,Part_of,18513
1013,Part_of,29290
1014,Part_of,29290
1015,Part_of,38343
1016,Part_of,17433
1017,Part_of,17433
1018,Part_of,29290
1019,Part_of,39360
1020,Part_of,39360
1021,Part_of,3707
1022,Part_of,38952
1023,Part_of,3707
1024,Part_of,3707
1025,Part_of,3707
1026,Part_of,3707
1027,Part_of,3708
1028,Part_of,7794
1029,Part_of,17425
1030,Part_of,8850
1031,Part_of,8852
1032,Part_of,17433
1033,Part_of,17433
1034,Part_of,7796
1035,Part_of,8852
1036,Part_of,8852
1037,Part_of,12048
1038,Part_of,7795
1039,Part_of,3708
1040,Part_of,3708
1041,Part_of,7794
1042,Part_of,3708
1043,Part_of,11955
1044,Part_of,11955
1045,Part_of,3708
1046,Part_of,7794
1047,Part_of,17430
1048,Part_of,3708
1049,Part_of,7794
1050,Part_of,7794
1051,Part_of,7794
1052,Part_of,3708
1053,Part_of,8396
1054,Part_of,28666
1055,Part_of,28666
1056,Part_of,28666
1057,Part_of,17417
1058,Part_of,38929
1059,Part_of,28660
1060,Part_of,28665
1061,Part_of,17427
1062,Part_of,17429
1063,Part_of,28663
1064,Part_of,36744
1065,Part_of,11955
1066,Part_of,28663
1067,Part_of,11955
1068,Part_of,28663
1069,Part_of,8397
1070,Part_of,8397
1071,Part_of,28664
1072,Part_of,8397
1073,Part_of,8396
1074,Part_of,8396
1075,Part_of,26531
1076,Part_of,8397
1077,Part_of,8397
1078,Part_of,8397
1079,Part_of,8396
1080,Part_of,8395
1081,Part_of,8394
1082,Part_of,17428
1083,Part_of,17428
1084,Part_of,3766
1085,Part_of,3766
1086,Part_of,8397
1087,Part_of,8397
1088,Part_of,28661
1089,Part_of,8394
1090,Part_of,8395
1091,Part_of,28661
1092,Part_of,28659
1093,Part_of,8398
1094,Part_of,8398
1095,Part_of,17428
1096,Part_of,36385
1097,Part_of,7797
1098,Part_of,38481
1099,Part_of,38481
1100,Part_of,8398
1101,Part_of,8398
1102,Part_of,7797
1103,Part_of,8397
1104,Part_of,8397
1105,Part_of,8398
1106,Part_of,31042
1107,Part_of,36385
1108,Part_of,31006
1109,Part_of,39460
1110,Part_of,36383
1111,Part_of,35834
1112,Part_of,35837
1113,Part_of,35835
1114,Part_of,35836
1115,Part_of,35834
1116,Part_of,35835
1117,Part_of,35837
1118,Part_of,36381
1119,Part_of,36381
1120,Part_of,8397
1121,Part_of,31006
1122,Part_of,35834
1123,Part_of,35834
1124,Part_of,8191
1125,Part_of,39710
1126,Part_of,36381
1127,Part_of,36381
1128,Part_of,35835
1129,Part_of,36390
1130,Part_of,36390
1131,Part_of,36381
1132,Part_of,36383
1133,Part_of,36383
1134,Part_of,26555
1135,Part_of,8191
1136,Part_of,26552
1137,Part_of,8191
1138,Part_of,8444
1139,Part_of,11955
1140,Part_of,31006
1141,Part_of,31006
1142,Part_of,31006
1143,Part_of,8191
1144,Part_of,8191
1145,Part_of,26552
1146,Part_of,26552
1147,Part_of,26551
1148,Part_of,29289
1149,Part_of,8444
1150,Part_of,26551
1151,Part_of,39710
1152,Part_of,3766
1153,Part_of,3766
1154,Part_of,26546
1155,Part_of,3766
1156,Part_of,17421
1157,Part_of,26546
1158,Part_of,8191
1159,Part_of,8191
1160,Part_of,17421
1161,Part_of,3766
1162,Part_of,8191
1163,Part_of,8191
1164,Part_of,26550
1165,Part_of,26551
1166,Part_of,3766
1167,Part_of,3766
1168,Part_of,26550
1169,Part_of,26548
1170,Part_of,26546
1171,Part_of,39462
1172,Part_of,26546
1173,Part_of,26548
1174,Part_of,8191
1175,Part_of,11955
1176,Part_of,26543
1177,Part_of,8191
1178,Part_of,8191
1179,Part_of,8191
1180,Part_of,3766
1181,Part_of,3766
1182,Part_of,3766
1183,Part_of,26550
1184,Part_of,26550
1185,Part_of,26550
1186,Part_of,26550
1187,Part_of,26550
1188,Part_of,26550
1189,Part_of,26548
1190,Part_of,26548
1191,Part_of,8195
1192,Part_of,26553
1193,Part_of,26556
1194,Part_of,26549
1195,Part_of,8194
1196,Part_of,8194
1197,Part_of,8194
1198,Part_of,26543
1199,Part_of,26543
1200,Part_of,8195
1201,Part_of,26542
1202,Part_of,17423
1203,Part_of,17424
1204,Part_of,17422
1205,Part_of,8194
1206,Part_of,8194
1207,Part_of,26543
1208,Part_of,26543
1209,Part_of,17422
1210,Part_of,27934
1211,Part_of,26542
1212,Part_of,8193
1213,Part_of,27934
1214,Part_of,27934
1215,Part_of,8193
1216,Part_of,8193
1217,Part_of,26543
1218,Part_of,26543
1219,Part_of,26544
1220,Part_of,12377
1221,Part_of,8192
1222,Part_of,8192
1223,Part_of,17426
1224,Part_of,8192
1225,Part_of,8193
1226,Part_of,27935
1227,Part_of,12377
1228,Part_of,27933
1229,Part_of,31042
1230,Part_of,31040
1231,Part_of,17426
1232,Part_of,27933
1233,Part_of,8192
1234,Part_of,8192
1235,Part_of,8192
1236,Part_of,38210
1237,Part_of,38210
1238,Part_of,38210
1239,Part_of,31040
1240,Part_of,17427
1241,Part_of,38210
1242,Part_of,31016
1243,Part_of,31040
1244,Part_of,38210
1245,Part_of,38210
1246,Part_of,38210
1247,Part_of,31040
1248,Part_of,38210
1249,Part_of,38210
1250,Part_of,38210
1251,Part_of,31035
1252,Part_of,2041
1253,Part_of,2041
1254,Part_of,2039
1255,Part_of,2041
1256,Part_of,2039
1257,Part_of,39462
1258,Part_of,2042
1259,Part_of,31027
1260,Part_of,31035
1261,Part_of,31016
1262,Part_of,31035
1263,Part_of,595
1264,Part_of,38407
1265,Part_of,31034
1266,Part_of,31016
1267,Part_of,39462
1268,Part_of,39462
1269,Part_of,31016
1270,Part_of,31016
1271,Part_of,31016
1272,Part_of,31016
1273,Part_of,31016
1274,Part_of,40906
1275,Part_of,40906
1276,Part_of,39460
1277,Part_of,39461
1278,Part_of,39460
1279,Part_of,23872
1280,Part_of,23872
1281,Part_of,23872
1282,Part_of,23877
1283,Part_of,23877
1284,Part_of,23891
1285,Part_of,23877
1286,Part_of,23877
1287,Part_of,23871
1288,Part_of,23872
1289,Part_of,23872
1290,Part_of,23877
1291,Part_of,23875
1292,Part_of,23891
1293,Part_of,23877
1294,Part_of,23872
1295,Part_of,23891
1296,Part_of,23890
1297,Part_of,23889
1298,Part_of,31034
1299,Part_of,23872
1300,Part_of,31027
1301,Part_of,23871
1302,Part_of,23872
1303,Part_of,30642
1304,Part_of,11947
1305,Part_of,23889
1306,Part_of,23889
1307,Part_of,30641
1308,Part_of,30642
1309,Part_of,23871
1310,Part_of,23872
1311,Part_of,23872
1312,Part_of,11530
1313,Part_of,11530
1314,Part_of,11947
1315,Part_of,11947
1316,Part_of,23871
1317,Part_of,23871
1318,Part_of,31027
1319,Part_of,30639
1320,Part_of,30639
1321,Part_of,23871
1322,Part_of,23872
1323,Part_of,30639
1324,Part_of,23871
1325,Part_of,596
1326,Part_of,595
1327,Part_of,596
1328,Part_of,595
1329,Part_of,30637
1330,Part_of,30639
1331,Part_of,30638
1332,Part_of,30639
1333,Part_of,30639
1334,Part_of,30637
1335,Part_of,39204
1336,Part_of,23871
1337,Part_of,23871
1338,Part_of,39461
1339,Part_of,30638
1340,Part_of,30638
1341,Part_of,23872
1342,Part_of,30641
1343,Part_of,23873
1344,Part_of,23871
1345,Part_of,38213
1346,Part_of,30637
1347,Part_of,38213
1348,Part_of,23875
1349,Part_of,23871
1350,Part_of,23872
1351,Part_of,23872
1352,Part_of,23871
1353,Part_of,23872
1354,Part_of,11530
1355,Part_of,31029
1356,Part_of,11530
1357,Part_of,23889
1358,Part_of,23889
1359,Part_of,23871
1360,Part_of,23871
1361,Part_of,30639
