SeID,Length
1013,25.82
1014,123.56
1015,819.82
1016,437.55
1017,173.68
1018,3.37
1019,539.56
1020,55.68
1021,35.38
1022,574.42
1023,230.01
1024,234.14
1025,66.65
1026,100.48
1027,100.65
1028,359.89
1029,1653.02
1030,152.49
1031,39.49
1032,243.39
1033,184.33
1034,181.95
1035,38.17
1036,3.93
1037,772.3
1038,15.57
1039,97.87
1040,53.2
1041,137.33
1042,95.3
1043,174.34
1044,155.11
1045,37
1046,87.73
1047,0.01
1048,70.38
1049,28.6
1050,338.74
1051,106.9
1052,36.71
1053,153.19
1054,69.85
1055,86.08
1056,18.44
1057,393.06
1058,1579.27
1059,115.93
1060,102.16
1061,2092.72
1062,346.16
1063,47.15
1064,447.55
1065,49.36
1066,40.83
1067,1331.74
1068,93.57
1069,75.12
1070,194.38
1071,74.9
1072,42.65
1073,203.27
1074,315.87
1075,214.23
1076,130.69
1077,136.36
1078,185.57
1079,54.07
1080,81.28
1081,252.84
1082,199.78
1083,172.36
1084,921.74
1085,659.15
1086,143.57
1087,248.76
1088,82.94
1089,83.09
1090,59.48
1091,47.99
1092,57.54
1093,25.17
1094,207.43
1095,327.24
1096,303.47
1097,65.51
1098,121.94
1099,71.01
1100,57.4
1101,58.01
1102,94.63
1103,56.42
1104,54.62
1105,72.74
1106,2722.47
1107,5.31
1108,236.09
1109,24.41
1110,400.62
1111,39.6
1112,157.49
1113,89.46
1114,93.23
1115,43.76
1116,106.48
1117,142.85
1118,91.91
1119,1903.84
1120,154.19
1121,170.98
1122,21.66
1123,53.43
1124,422.88
1125,253.44
1126,64.85
1127,59.36
1128,83.78
1129,25.9
1130,24.43
1131,14.81
1132,17.64
1133,24.41
1134,945.48
1135,83.18
1136,147.72
1137,141.58
1138,162.89
1139,321.46
1140,27.7
1141,73.44
1142,1327.39
1143,79.59
1144,86.7
1145,25.14
1146,138.56
1147,116.71
1148,82.77
1149,29.26
1150,139.54
1151,182.06
1152,332.68
1153,67.31
1154,196.04
1155,155.93
1156,266.67
1157,124.14
1158,32.18
1159,54.65
1160,0
1161,172.38
1162,78.32
1163,119
1164,80.6
1165,99.67
1166,158.27
1167,288.14
1168,66.44
1169,69.79
1170,178.53
1171,1783.72
1172,64.56
1173,61.15
1174,45.09
1175,7.81
1176,102.57
1177,10.41
1178,129.94
1179,140.21
1180,120.14
1181,127.67
1182,188.1
1183,39.61
1184,62.45
1185,53.13
1186,32.37
1187,11.95
1188,60.04
1189,50.27
1190,116.46
1191,113.34
1192,64.36
